Player_clean,Career_Arc,Perf_Tier,Seasons_Played,Avg_PPG,Injury_Count,Avg_Injury_Days,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),WEIGHT (LBS),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,Max Bench Press
dahntay jones,Mid (4–7 yrs),Top 25%,7,3.2025029356608306,1,21.0,0.026,,,214.0,10.91,,3.11,30.0,39.5,
dajuan summers,Mid (4–7 yrs),50–75%,4,0.2556818181818182,3,33.0,0.066,,,243.0,10.94,,3.17,29.5,34.5,15.0
dakari johnson,Early (1–3 yrs),Bottom 25%,1,0.05806451612903226,0,,0.149,9.25,10.5,264.6,11.76,2.94,3.62,22.5,25.0,4.0
dalen terry,Early (1–3 yrs),Bottom 25%,3,0.05736031511329986,0,,0.054,8.5,9.0,195.2,,,,,,
dalton knecht,Early (1–3 yrs),Bottom 25%,1,0.11666666666666667,0,,,8.5,9.5,212.2,10.56,2.79,3.07,31.0,39.0,
damian jones,Late (8+ yrs),25–50%,8,0.13123797696206232,3,16.666666666666668,0.0655,8.75,10.5,243.6,11.35,3.12,3.2,36.0,37.0,
damian lillard,Late (8+ yrs),Top 25%,13,0.39655735372698014,8,172.875,0.059,8.75,9.75,188.8,11.15,,3.34,34.5,39.5,13.0
damion james,Mid (4–7 yrs),50–75%,4,0.279,2,15.5,0.096,9.25,8.5,226.6,10.89,,3.2,29.0,33.0,13.0
damyean dotson,Mid (4–7 yrs),Top 25%,5,0.30499853357878964,3,237.0,0.053,8.5,9.25,205.2,11.18,3.03,3.13,31.5,38.0,13.0
daniel gafford,Mid (4–7 yrs),25–50%,6,0.14310209567757506,4,137.5,0.059,9.25,9.25,237.6,11.61,3.19,3.25,32.5,36.5,5.0
daniel orton,Early (1–3 yrs),25–50%,3,0.1678904428904429,3,3.6666666666666665,0.138,8.5,9.75,269.2,12.32,,3.39,24.0,30.5,13.0
danny granger,Mid (4–7 yrs),Top 25%,6,0.40663604192187286,5,86.0,,,,225.4,10.84,,3.34,31.0,34.0,10.0
danny green,Late (8+ yrs),25–50%,15,0.17236570632275597,9,25.77777777777778,0.056,,,208.0,11.3,,3.3,29.0,33.0,15.0
dante cunningham,Late (8+ yrs),Bottom 25%,10,0.07891647897384199,0,,0.048,,,227.4,11.18,,3.26,28.0,35.0,18.0
darington hobson,Early (1–3 yrs),25–50%,1,0.16,0,,0.062,8.25,9.0,203.6,11.68,,3.25,29.0,34.0,
dariq whitehead,Early (1–3 yrs),Top 25%,2,0.5175000000000001,0,,,8.5,10.0,217.2,,,,,,
darius bazley,Mid (4–7 yrs),50–75%,5,0.2414470096713794,3,188.66666666666666,0.036,9.0,9.75,208.4,11.09,2.95,3.27,30.5,37.0,4.0
darius garland,Mid (4–7 yrs),Top 25%,6,0.29221901069399653,3,35.333333333333336,,,,,,,,,,
darius miller,Mid (4–7 yrs),Bottom 25%,6,0.11062480928599698,3,615.3333333333334,0.075,8.5,8.75,233.4,11.34,,3.31,33.0,37.0,14.0
darius morris,Mid (4–7 yrs),Bottom 25%,4,0.10392300194931774,1,37.0,0.053,8.75,10.0,190.0,11.0,,3.2,24.5,32.0,12.0
darius songaila,Early (1–3 yrs),25–50%,2,0.128,1,8.0,,,,240.0,11.69,,3.52,24.5,29.5,8.0
darko milicic,Mid (4–7 yrs),Bottom 25%,4,0.1238829803848076,3,117.66666666666667,0.08,,,250.0,11.3,,3.36,26.5,32.5,13.0
darrell arthur,Late (8+ yrs),Bottom 25%,8,0.12111643487627523,4,105.0,0.073,,,216.0,12.18,,3.14,28.5,30.0,12.0
darren collison,Late (8+ yrs),50–75%,11,0.20870222701386834,4,348.5,0.057,,,166.2,10.45,,3.1,30.5,33.5,9.0
