Player,Team,Year,Round Number,Round Pick
Svi Mykhailiuk,Los Angeles Lakers,2018,2,17
Keita Bates-Diop,Minnesota Timberwolves,2018,2,18
Chimezie Metu,Milwaukee Bucks,2018,2,19
Alize Johnson,Indiana Pacers,2018,2,20
Markelle Fultz,Philadelphia 76ers,2017,1,1
Lonzo Ball,Los Angeles Lakers,2017,1,2
Jayson Tatum,Boston Celtics,2017,1,3
Josh Jackson,Phoenix Suns,2017,1,4
De'Aaron Fox,Sacramento Kings,2017,1,5
Jonathan Isaac,Orlando Magic,2017,1,6
Lauri Markkanen,Minnesota Timberwolves,2017,1,7
Frank Ntilikina,New York Knicks,2017,1,8
Dennis Smith Jr.,Dallas Mavericks,2017,1,9
Zach Collins,Sacramento Kings,2017,1,10
Malik Monk,Charlotte Hornets,2017,1,11
Luke Kennard,Detroit Pistons,2017,1,12
Donovan Mitchell,Denver Nuggets,2017,1,13
Bam Adebayo,Miami Heat,2017,1,14
Justin Jackson,Portland Trail Blazers,2017,1,15
Justin Patton,Chicago Bulls,2017,1,16
D.J. Wilson,Milwaukee Bucks,2017,1,17
T.J. Leaf,Indiana Pacers,2017,1,18
John Collins,Atlanta Hawks,2017,1,19
Harry Giles III,Portland Trail Blazers,2017,1,20
Terrance Ferguson,Oklahoma City Thunder,2017,1,21
Jarrett Allen,Brooklyn Nets,2017,1,22
OG Anunoby,Toronto Raptors,2017,1,23
Tyler Lydon,Utah Jazz,2017,1,24
Anžejs Pasečņiks,Orlando Magic,2017,1,25
Caleb Swanigan,Portland Trail Blazers,2017,1,26
Kyle Kuzma,Brooklyn Nets,2017,1,27
Tony Bradley,Los Angeles Lakers,2017,1,28
Derrick White,San Antonio Spurs,2017,1,29
Josh Hart,Utah Jazz,2017,1,30
Frank Jackson,Charlotte Hornets,2017,2,1
Davon Reed,Phoenix Suns,2017,2,2
Wes Iwundu,Orlando Magic,2017,2,3
Frank Mason III,Sacramento Kings,2017,2,4
Ivan Rabb,Orlando Magic,2017,2,5
Jonah Bolden,Philadelphia 76ers,2017,2,6
Semi Ojeleye,Boston Celtics,2017,2,7
Jordan Bell,Chicago Bulls,2017,2,8
Jawun Evans,Philadelphia 76ers,2017,2,9
Dwayne Bacon,New Orleans Pelicans,2017,2,10
Tyler Dorsey,Atlanta Hawks,2017,2,11
Thomas Bryant,Utah Jazz,2017,2,12
Isaiah Hartenstein,Houston Rockets,2017,2,13
Damyean Dotson,New York Knicks,2017,2,14
Dillon Brooks,Houston Rockets,2017,2,15
Sterling Brown,Philadelphia 76ers,2017,2,16
Ike Anigbogu,Indiana Pacers,2017,2,17
Sindarius Thornwell,Milwaukee Bucks,2017,2,18
Vlatko Čančar,Denver Nuggets,2017,2,19
Mathias Lessort,Philadelphia 76ers,2017,2,20
Ben Simmons,Philadelphia 76ers,2016,1,1
Brandon Ingram,Los Angeles Lakers,2016,1,2
Jaylen Brown,Boston Celtics,2016,1,3
Dragan Bender,Phoenix Suns,2016,1,4
Kris Dunn,Minnesota Timberwolves,2016,1,5
Buddy Hield,New Orleans Pelicans,2016,1,6
Jamal Murray,Denver Nuggets,2016,1,7
Marquese Chriss,Phoenix Suns,2016,1,8
Jakob Poeltl,Toronto Raptors,2016,1,9
Thon Maker,Milwaukee Bucks,2016,1,10
Domantas Sabonis,Oklahoma City Thunder,2016,1,11
Taurean Prince,Utah Jazz,2016,1,12
Georgios Papagiannis,Sacramento Kings,2016,1,13
Denzel Valentine,Chicago Bulls,2016,1,14
Juancho Hernangomez,Denver Nuggets,2016,1,15
Guerschon Yabusele,Boston Celtics,2016,1,16
Wade Baldwin IV,Memphis Grizzlies,2016,1,17
Henry Ellenson,Detroit Pistons,2016,1,18
Malik Beasley,Denver Nuggets,2016,1,19
